NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
3744181;2023-10-02;2023-10-02;17:34:30;17:39:04;14,222;3114,000;4,567;32,2;29,1;A;9;A9;oplopend;Aalsmeer;Badhoevedorp;Amstelveen;Alkmaar;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3744182;2023-10-02;2023-10-02;17:36:31;17:41:11;14,333;3071,000;4,667;44,7;48,2;A;12;A12;aflopend;Woerden;Nieuwerbrug;Utrecht;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3744209;2023-10-02;2023-10-02;17:40:30;18:02:00;61,335;2853,000;21,500;30,1;27,4;A;10;A10;oplopend;Amsterdam-Hemhavens;Coentunnel;Knooppunt De Nieuwe Meer;Knooppunt Coenplein;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 22];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3744210;2023-10-02;2023-10-02;17:40:30;17:43:00;5,250;2100,000;2,500;93,8;95,9;A;15;A15;aflopend;Gorinchem;Hardinxveld-Giessendam;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3744211;2023-10-02;2023-10-02;17:39:30;19:00:00;81,015;1006,000;80,500;113,3;113,3;A;15;A15;aflopend;Deil verbindingsweg A15 vanuit Nijmegen;A2 richting 's-Hertogenbosch;Nijmegen;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 80];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3744212;2023-10-02;2023-10-02;17:40:30;17:49:01;30,427;3573,000;8,517;32,6;35,8;A;20;A20;aflopend;Terbregseplein;Rotterdam-Crooswijk;Gouda;Hoek van Holland;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 9];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3744249;2023-10-02;2023-10-02;17:48:30;17:51:01;6,292;2500,000;2,517;3,4;0,9;A;8;A8;oplopend;Zaanstad-Zuid;Zaandam;Amsterdam;Zaandam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3744250;2023-10-02;2023-10-02;17:48:30;17:51:01;5,537;2200,000;2,517;27,9;30,1;A;9;A9;aflopend;Schiphol-Oost;Amstelveen-Stadshart;Alkmaar;Amstelveen;Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin;[Geen oorzaakcode opgegeven door VWM 3];[000];002;Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin;Geen oorzaak gemeld;Drukte;Hoge intensiteit
3744251;2023-10-02;2023-10-02;17:48:30;17:51:02;7,347;2900,000;2,533;39,6;42,5;N;35;N35;aflopend;Wierden-West;Rijssen;Almelo;Zwolle;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3744252;2023-10-02;2023-10-02;17:50:30;17:55:04;11,570;2534,000;4,567;92,8;95,5;A;15;A15;aflopend;Gorinchem;Hardinxveld-Giessendam;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742012;2023-10-01;2023-10-01;9:38:23;15:35:11;1003,417;2812,000;356,800;34,6;37,1;A;27;A27;aflopend;Industriegebied Avelingen;Merwedebrug;Gorinchem;Breda;Wegwerkzaamheden;[Geen oorzaakcode opgegeven door VWM 8], [Wegwerkzaamheden 311], [Ongeval(len) 6], [Opruimingswerkzaamheden 17], [Wegwerkzaamheden 15];[000], [RWK], [ACI], [OCL], [RWK];RWK;Wegwerkzaamheden;Werkzaamheden;Werkzaamheden;Aanleg en gepland onderhoud
3742020;2023-10-01;2023-10-01;10:25:24;10:42:29;48,902;2863,000;17,083;46,4;43,4;A;9;A9;oplopend;Rottepolderplein;brug over het Zijkanaal C;Amstelveen;Alkmaar;Brugopening;[Geen oorzaakcode opgegeven door VWM 7], [Brugopening 10];[000], [N73];N73;Brugopening;Brugopening;Blokkade;Hoge intensiteit
3742021;2023-10-01;2023-10-01;10:26:24;10:42:32;31,773;1969,000;16,133;47,8;49,9;A;9;A9;aflopend;Velsen;brug over het Zijkanaal C;Alkmaar;Amstelveen;Brugopening;[Geen oorzaakcode opgegeven door VWM 6], [Brugopening 10];[000], [N73];N73;Brugopening;Brugopening;Blokkade;Hoge intensiteit
3742026;2023-10-01;2023-10-01;10:43:25;10:46:00;7,567;2929,000;2,583;45,4;41,9;A;9;A9;oplopend;Rottepolderplein;brug over het Zijkanaal C;Amstelveen;Alkmaar;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742220;2023-10-01;2023-10-01;15:25:28;15:27:00;3,067;2000,000;1,533;96,1;98,1;A;7;A7;aflopend;Kornwerderzand;P Breezanddijk;Zurich;Den Oever;Opgehoogde werkzaamheden;[Geen oorzaakcode opgegeven door VWM 2];[000];998;Opgehoogde werkzaamheden;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
3742221;2023-10-01;2023-10-01;15:26:28;15:28:00;4,753;3100,000;1,533;52,6;55,7;A;1;A1;aflopend;Barneveld;Hoevelaken;Amersfoort;Amsterdam;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742222;2023-10-01;2023-10-01;15:26:28;15:28:00;3,680;2400,000;1,533;98,3;100,7;A;6;A6;aflopend;Urk;Ketelbrug;Emmeloord;Lelystad;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742238;2023-10-01;2023-10-01;15:50:28;15:52:00;3,067;2000,000;1,533;87,2;85,2;A;15;A15;oplopend;Sliedrecht-Oost;Hardinxveld-Giessendam;Ridderkerk;Gorinchem;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742239;2023-10-01;2023-10-01;15:50:28;15:52:00;3,987;2600,000;1,533;164,9;167,5;A;2;A2;aflopend;Leenderheide;De Hogt;Maastricht;Eindhoven;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742240;2023-10-01;2023-10-01;15:50:28;15:52:00;3,373;2200,000;1,533;96,1;98,3;A;7;A7;aflopend;Kornwerderzand;P Breezanddijk;Zurich;Den Oever;Opgehoogde werkzaamheden;[Geen oorzaakcode opgegeven door VWM 2];[000];998;Opgehoogde werkzaamheden;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
3742265;2023-10-01;2023-10-01;16:16:28;16:21:00;11,083;2445,000;4,533;53,3;55,7;A;1;A1;aflopend;Barneveld;Hoevelaken;Amersfoort;Amsterdam;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742266;2023-10-01;2023-10-01;16:18:28;16:47:44;33,852;1157,000;29,267;36,0;37,6;A;27;A27;aflopend;Gorinchem;Industriegebied Avelingen;Gorinchem;Breda;Wegwerkzaamheden;[Geen oorzaakcode opgegeven door VWM 9], [Wegwerkzaamheden 20];[000], [RWK];RWK;Wegwerkzaamheden;Werkzaamheden;Werkzaamheden;Aanleg en gepland onderhoud
3742267;2023-10-01;2023-10-01;16:18:28;16:20:00;3,373;2200,000;1,533;21,7;23,9;N;35;N35;aflopend;Industriegebied De Zegge;Ommen;Almelo;Zwolle;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742268;2023-10-01;2023-10-01;16:24:28;16:26:00;3,067;2000,000;1,533;53,9;55,9;A;1;A1;aflopend;Barneveld;Hoevelaken;Amersfoort;Amsterdam;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742291;2023-10-01;2023-10-01;17:19:27;17:22:00;6,120;2400,000;2,550;255,4;257,8;N;50;N50;aflopend;Ens;Eilandbrug;Emmeloord;Zwolle;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742292;2023-10-01;2023-10-01;17:22:27;17:41:00;44,107;2378,000;18,550;97,0;94,8;A;7;A7;oplopend;P Breezanddijk;Kornwerderzand;Den Oever;Zurich;Opgehoogde werkzaamheden;[Geen oorzaakcode opgegeven door VWM 19];[000];998;Opgehoogde werkzaamheden;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
3742293;2023-10-01;2023-10-01;17:24:27;17:28:00;10,560;2975,000;3,550;59,0;62,2;A;12;A12;aflopend;Kanaleneiland;Nieuwegein;Utrecht;Den Haag;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742330;2023-10-01;2023-10-01;18:44:26;18:49:00;10,203;2234,000;4,567;52,0;49,7;A;27;A27;oplopend;Lexmond;Everdingen;Gorinchem;Utrecht;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742331;2023-10-01;2023-10-01;18:49:26;18:53:00;9,187;2576,000;3,567;50,4;47,6;A;27;A27;oplopend;Noordeloos;Lexmond;Gorinchem;Utrecht;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742333;2023-10-01;2023-10-01;19:21:26;19:31:00;20,490;2142,000;9,567;71,5;73,6;A;7;A7;aflopend;P Breezanddijk;brug over Stevinsluizen;Zurich;Den Oever;Opgehoogde werkzaamheden;[Geen oorzaakcode opgegeven door VWM 10];[000];998;Opgehoogde werkzaamheden;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
3742334;2023-10-01;2023-10-01;19:35:26;19:37:00;1,253;800,000;1,567;64,7;63,9;A;2;A2;oplopend;Utrecht-Langerak;Oudenrijn;Utrecht;'s-Hertogenbosch;File buiten spits (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];003;File buiten spits (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742388;2023-10-02;2023-10-02;6:38:24;6:42:00;7,560;2100,000;3,600;36,8;38,9;A;4;A4;aflopend;Leidschendam;Zoeterwoude-Dorp;Den Haag;Amsterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742389;2023-10-02;2023-10-02;6:38:24;6:40:01;3,557;2200,000;1,617;88,3;90,5;A;59;A59;aflopend;Terheijden;Zonzeel;'s-Hertogenbosch;Knooppunt Zonzeel;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742390;2023-10-02;2023-10-02;6:39:24;7:37:01;177,740;3085,000;57,617;40,1;43,2;A;16;A16;aflopend;Dordtse Kil;Dordrecht;Breda;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 58];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742391;2023-10-02;2023-10-02;6:40:24;6:43:00;5,720;2200,000;2,600;136,2;138,4;A;12;A12;aflopend;Duiven;Westervoort;Duitse grens;Arnhem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742395;2023-10-02;2023-10-02;6:41:24;7:11:00;95,642;3231,000;29,600;85,1;87,2;A;15;A15;aflopend;Sliedrecht-Oost;Sliedrecht-West;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 30];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742437;2023-10-02;2023-10-02;7:03:26;7:08:00;10,275;2250,000;4,567;17,4;19,5;A;16;A16;aflopend;Rotterdam-Kralingen;Rotterdam-Prins Alexander;Breda;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742438;2023-10-02;2023-10-02;7:04:26;7:14:00;24,963;2609,000;9,567;45,2;47,6;A;20;A20;aflopend;Moordrecht;Nieuwerkerk aan den IJssel;Gouda;Hoek van Holland;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 10];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742439;2023-10-02;2023-10-02;7:04:26;7:23:00;60,005;3232,000;18,567;44,1;41,7;A;73;A73;oplopend;Maasbree;Venlo-West;Maasbracht;Nijmegen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 19];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742440;2023-10-02;2023-10-02;7:04:26;7:12:00;16,517;2183,000;7,567;96,1;98,1;A;7;A7;aflopend;Kornwerderzand;P Breezanddijk;Zurich;Den Oever;Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin;[Geen oorzaakcode opgegeven door VWM 8];[000];002;Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin;Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742487;2023-10-02;2023-10-02;7:20:27;7:23:00;5,182;2032,000;2,550;146,4;148,5;A;50;A50;aflopend;Ewijk;Bankhoef;Arnhem;Oss;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742490;2023-10-02;2023-10-02;7:21:27;7:23:00;3,565;2300,000;1,550;27,7;30,0;A;12;A12;aflopend;Gouda;Gouwe-Aquaduct;Utrecht;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742491;2023-10-02;2023-10-02;7:21:27;7:23:00;6,975;4500,000;1,550;32,2;27,7;A;27;A27;oplopend;Werkendam;Merwedebrug;Breda;Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742492;2023-10-02;2023-10-02;7:21:27;7:23:00;4,030;2600,000;1,550;11,6;14,2;A;29;A29;aflopend;Barendrecht;Vaanplein;Sabina;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742493;2023-10-02;2023-10-02;7:22:27;7:24:00;3,410;2200,000;1,550;27,6;29,8;A;67;A67;aflopend;Geldrop;Leenderheide/Randweg N2;Venlo;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742548;2023-10-02;2023-10-02;7:31:27;7:44:01;29,925;2381,000;12,567;3,0;5,1;N;57;N57;aflopend;Brielle-Noord;A15: Brielle;Voorne-Putten;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 13];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742549;2023-10-02;2023-10-02;7:31:27;7:35:07;7,900;2155,000;3,667;197,3;195,2;N;7;N7;oplopend;Julianaplein;Groningen-Helpman;Groningen;Westerbroek;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742550;2023-10-02;2023-10-02;7:32:27;9:42:00;641,503;4952,000;129,550;141,7;145,2;A;12;A12;aflopend;Zevenaar;Duiven;Duitse grens;Arnhem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 130];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742551;2023-10-02;2023-10-02;7:32:27;7:34:01;3,133;2000,000;1,567;48,6;50,6;A;16;A16;aflopend;Zevenbergschen Hoek;Klaverpolder;Breda;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742553;2023-10-02;2023-10-02;7:32:27;7:34:00;4,960;3200,000;1,550;34,3;37,5;A;28;A28;aflopend;Nijkerk;Amersfoort-Vathorst;Zwolle;Amersfoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742616;2023-10-02;2023-10-02;7:41:28;7:49:00;17,032;2261,000;7,533;164,3;166,4;A;2;A2;aflopend;De Hogt;Batadorp;Maastricht;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742617;2023-10-02;2023-10-02;7:41:28;7:52:02;24,232;2293,000;10,567;112,0;104,8;A;73;A73;oplopend;Beuningen;Ewijk;Maasbracht;Nijmegen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 11];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742619;2023-10-02;2023-10-02;7:42:27;7:46:04;9,837;2720,000;3,617;83,6;86,4;A;2;A2;aflopend;Beesd;Culemborg;'s-Hertogenbosch;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742620;2023-10-02;2023-10-02;7:42:27;8:33:01;181,945;3598,000;50,567;141,6;138,8;A;2;A2;oplopend;Best;Airbornebrug;'s-Hertogenbosch;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 51];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742621;2023-10-02;2023-10-02;7:42:27;7:53:01;29,787;2819,000;10,567;20,9;18,8;N;325;N325;oplopend;A325: Arnhem-Centrum;Winkelcentrum Kronenburg;Arnhem;Knooppunt Velperbroek;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 11];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742692;2023-10-02;2023-10-02;7:50:28;7:59:01;18,173;2126,000;8,550;48,3;46,1;A;73;A73;oplopend;Zaarderheiken;Grubbenvorst;Maasbracht;Nijmegen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 9];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742693;2023-10-02;2023-10-02;7:51:28;8:48:01;183,242;3240,000;56,550;231,9;234,2;N;18;N18;aflopend;Groenlo-Laarberg;Groenlo;Enschede;Varsseveld;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 57];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742694;2023-10-02;2023-10-02;7:51:28;8:04:02;30,207;2404,000;12,567;0,4;2,9;N;209;N209;aflopend;Berkel en Rodenrijs/Rotterdam;Rotterdam Airport;Hazerswoude;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 13];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742695;2023-10-02;2023-10-02;7:50:28;8:25:06;146,332;4225,000;34,633;250,2;252,5;N;50;N50;aflopend;Kampen;Kampen-Zuid;Emmeloord;Zwolle;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 35];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742786;2023-10-02;2023-10-02;8:03:28;8:07:00;7,067;2000,000;3,533;127,7;129,7;A;7;A7;aflopend;Joure-West;Prinses Margriettunnel;Heerenveen;Knooppunt Zurich;Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin;[Geen oorzaakcode opgegeven door VWM 4];[000];002;Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin;Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742787;2023-10-02;2023-10-02;8:04:28;8:09:02;14,157;3100,000;4,567;52,9;56,0;A;9;A9;aflopend;Beverwijk-Oost;Wijkertunnel;Alkmaar;Amstelveen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742788;2023-10-02;2023-10-02;8:03:28;8:07:01;7,810;2200,000;3,550;0,0;2,2;N;11;N11;aflopend;Zoeterwoude-Weipoort/Rijndijk;A4: Zoeterwoude-Rijndijk;Bodegraven;Leiden;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742789;2023-10-02;2023-10-02;8:03:28;8:11:03;23,257;3067,000;7,583;9,1;12,1;N;65;N65;aflopend;Helvoirt/Haren;Cromvoirt/Vught-Zuid;Oisterwijk;Vught;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742870;2023-10-02;2023-10-02;8:17:28;8:33:00;42,933;2764,000;15,533;59,2;56,6;A;12;A12;oplopend;Oudenrijn;Nieuwegein;Den Haag;Utrecht;Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin;[Geen oorzaakcode opgegeven door VWM 16];[000];002;Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin;Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742871;2023-10-02;2023-10-02;8:18:29;8:22:00;9,138;2599,000;3,517;65,3;68,0;A;15;A15;aflopend;Ridderkerk-Zuid;Ridderkerk-Noord;Gorinchem;Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742873;2023-10-02;2023-10-02;8:17:28;8:25:06;19,188;2514,000;7,633;18,3;15,7;A;1;A1;oplopend;Naarden-West;Naarden-Vesting;Amsterdam;Amersfoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742874;2023-10-02;2023-10-02;8:17:28;8:22:00;14,230;3139,000;4,533;186,1;189,3;A;2;A2;aflopend;Wildenberg;Budel;Maastricht;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742991;2023-10-02;2023-10-02;8:33:29;8:36:06;5,495;2100,000;2,617;53,3;51,2;A;1;A1;oplopend;Hoevelaken;Barneveld;Amersfoort;Apeldoorn;Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin;[Geen oorzaakcode opgegeven door VWM 3];[000];002;Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin;Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742992;2023-10-02;2023-10-02;8:33:29;8:36:06;3,925;1500,000;2,617;110,9;112,4;A;2;A2;aflopend;Empel;Empelbrug;'s-Hertogenbosch;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742994;2023-10-02;2023-10-02;8:33:29;8:50:07;55,500;3337,000;16,633;0,0;3,1;N;11;N11;aflopend;Zoeterwoude-Weipoort/Rijndijk;A4: Zoeterwoude-Rijndijk;Bodegraven;Leiden;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 17];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3742995;2023-10-02;2023-10-02;8:35:29;9:01:08;93,235;3635,000;25,650;45,7;47,7;A;16;A16;aflopend;Klaverpolder;Moerdijkbrug;Breda;Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 26];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
